time,target,value
0,fleet1,7.0
0,fleet2,7.0
0,loader1dt,good
0,loader1,ready
0,loader1q,0
0,loader2dt,good
0,loader2,ready
0,loader2q,0
0,s1n1dt,good
0,s1n1,L_Q
0,s2n1dt,good
0,s2n1,L_Q
0,s1n2dt,good
0,s1n2,L_Q
0,s2n2dt,good
0,s2n2,L_Q
0,s1n3dt,good
0,s1n3,L_Q
0,s2n3dt,good
0,s2n3,L_Q
0,s1n4dt,good
0,s1n4,L_Q
0,s2n4dt,good
0,s2n4,L_Q
0,s1n5dt,good
0,s1n5,L_Q
0,s2n5dt,good
0,s2n5,L_Q
0,s1n6dt,good
0,s1n6,L_Q
0,s2n6dt,good
0,s2n6,L_Q
0,s1n7dt,good
0,s1n7,L_Q
0,s2n7dt,good
0,s2n7,L_Q
0,unloaderdt,good
0,unloader,ready
0,unloaderq,0
0,truck_pile,0
0,truck_pile_max,120000
0,plant_max,1000
0,plant,0
0,plant_in,OFF
0,plant_out,OFF
0,plantdt,good
0,train_pile,0
0,train_pile_max,120000
0,rail_status,next train
0,rail_time,650
0,tons_tally,0
0,loader1q,0
0,s1n1,L_Q
0,loader1q,1
0,s1n2,L_Q
0,loader1q,2
0,s1n3,L_Q
0,loader1q,3
0,s1n4,L_Q
0,loader1q,4
0,s1n5,L_Q
0,loader1q,5
0,s1n6,L_Q
0,loader1q,6
0,s1n7,L_Q
0,loader2q,0
0,s2n1,L_Q
0,loader2q,1
0,s2n2,L_Q
0,loader2q,2
0,s2n3,L_Q
0,loader2q,3
0,s2n4,L_Q
0,loader2q,4
0,s2n5,L_Q
0,loader2q,5
0,s2n6,L_Q
0,loader2q,6
0,s2n7,L_Q
0,rail_status,next train
0,rail_time,650
0,loader1q,6
0,s1n1,loader1
0,loader1,s1n1
0,loader2q,6
0,s2n1,loader2
0,loader2,s2n1
3,plant,0
3,plant_in,OFF
6,plant,0
6,plant_in,OFF
9,plant,0
9,plant_in,OFF
12,plant,0
12,plant_in,OFF
15,plant,0
15,plant_in,OFF
18,plant,0
18,plant_in,OFF
21,plant,0
21,plant_in,OFF
24,plant,0
24,plant_in,OFF
27,plant,0
27,plant_in,OFF
30,plant,0
30,plant_in,OFF
33,plant,0
33,plant_in,OFF
36,plant,0
36,plant_in,OFF
39,plant,0
39,plant_in,OFF
42,plant,0
42,plant_in,OFF
45,plant,0
45,plant_in,OFF
48,plant,0
48,plant_in,OFF
51,plant,0
51,plant_in,OFF
54,plant,0
54,plant_in,OFF
57,plant,0
57,plant_in,OFF
60,plant,0
60,plant_in,OFF
63,plant,0
63,plant_in,OFF
66,plant,0
66,plant_in,OFF
69,plant,0
69,plant_in,OFF
72,plant,0
72,plant_in,OFF
75,plant,0
75,plant_in,OFF
78,plant,0
78,plant_in,OFF
81,plant,0
81,plant_in,OFF
84,plant,0
84,plant_in,OFF
87,plant,0
87,plant_in,OFF
90,plant,0
90,plant_in,OFF
93,plant,0
93,plant_in,OFF
96,plant,0
96,plant_in,OFF
99,plant,0
99,plant_in,OFF
102,plant,0
102,plant_in,OFF
105,plant,0
105,plant_in,OFF
108,plant,0
108,plant_in,OFF
111,plant,0
111,plant_in,OFF
114,plant,0
114,plant_in,OFF
117,plant,0
117,plant_in,OFF
120,plant,0
120,plant_in,OFF
121.74184006304057,loader1,ready
121.74184006304057,s1n1,287.3t
121.74184006304057,loader1q,5
121.74184006304057,s1n2,loader1
121.74184006304057,loader1,s1n2
123,plant,0
123,plant_in,OFF
126,plant,0
126,plant_in,OFF
126.33721767756148,loader2,ready
126.33721767756148,s2n1,296.9t
126.33721767756148,loader2q,5
126.33721767756148,s2n2,loader2
126.33721767756148,loader2,s2n2
129,plant,0
129,plant_in,OFF
132,plant,0
132,plant_in,OFF
135,plant,0
135,plant_in,OFF
138,plant,0
138,plant_in,OFF
141,plant,0
141,plant_in,OFF
144,plant,0
144,plant_in,OFF
146.70315628165417,s1n1,U_Q
146.70315628165417,unloaderq,0
146.70315628165417,unloaderq,0
146.70315628165417,s1n1,unloader
146.70315628165417,unloader,s1n1
147,plant,0
147,plant_in,OFF
148.08016473830503,unloader,ready
148.08016473830503,truck_pile,287.2979861786409
148.08016473830503,s1n1,0t
150,plant,0
150,plant_in,OFF
150,truck_pile,37.29798617864088
150,plant_in,ON
152.56256257114882,s2n1,U_Q
152.56256257114882,unloaderq,0
152.56256257114882,unloaderq,0
152.56256257114882,s2n1,unloader
152.56256257114882,unloader,s2n1
153,plant,250
153,plant_in,OFF
154.01526078279295,unloader,ready
